text,label
"Government announces new education policy",1
"Scientists discover water on Mars",1
"Stock market hits record high today",1
"New hospital opened in city center",1
"Prime minister visits flood affected area",1
"Aliens landed in New York last night",0
"Celebrity cloned secretly in lab",0
"Secret cure for cancer hidden by government",0
"Man becomes invisible after eating fruit",0
"Time traveler spotted in 1920 photograph",0
"New smartphone launched with AI features",1
"NASA confirms successful satellite launch",1
"Drinking petrol cures all diseases",0
"Hidden pyramid found inside volcano",0
"City introduces electric bus system",1
"Fake moon landing proof discovered",0
"New tax reforms approved by parliament",1
"Magical tree grants wishes in village",0
"Doctors develop new vaccine for virus",1
"Ghost elected as mayor in small town",0
